Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79
CDMD1014	19.42028986	45.41269841	88.68085106	50.24050633	179.9042553	155.2586207	103.4583333	142.6885246	33.00769231	165.1473684	146.9125683	82.26315789	91.9338843	51.55339806	123.3761468	103.7016575	96.66666667	86.032	26.58426966	112.0493827	94.70879121	98.08163265	74.88317757	110.5565217	28.18471338	151.6686047	118.0543478	171.0735294	94.00662252	95.11042945	103.9553571	139.1657143	170.6687898	183.6686047	88.25414365	193.3923077	93.94186047	95.41129032	114.7266187	166.7077922	61.10869565	89.32653061	76.55172414	67.46979866	145.7740113	103.8187919	147.6490066	67.16042781	111.5631068	114.8727273	118.2264957	195.4201681	58.69483568	135.6666667	68.62827225	72.95977011	54.13291139	73.86065574	85.2037037	84.94594595	37.4	29.06451613	36.3015873	133.0657895	113.1034483	33.06896552	74.16352201	102.9345238	92.0619469	155.6449275	40.45	83.11940299	43.92537313	40.6	74.03265306	79.432	50.35106383	49.15151515	6.355769231
CDMD1027	16.26086957	37.31746032	74.71276596	55.58227848	175.7446809	144.5057471	81.45833333	112.9180328	31.04615385	151.5368421	136.9562842	58.96710526	61.71900826	47.30097087	110.3211009	108.8895028	96.23163842	74.432	34.25842697	95.63786008	97.47252747	92.89115646	71.42056075	94.86956522	27.62420382	130.6918605	86.29347826	146.4338235	89.05960265	90.46625767	93.86607143	135.1542857	146.9426752	170.2848837	82.17679558	171.8461538	83.22674419	87.91129032	102.5107914	149.2922078	54.14673913	86.87244898	73.08045977	55.73154362	122.4180791	97.87919463	135.9072848	43.81283422	110.6601942	112.8	101.5555556	171.5462185	53.25352113	136.5769231	53.63874346	65.05172414	48.75316456	65.97540984	78.1037037	87.27027027	28.45	31.59677419	37.6031746	128.5131579	86.98029557	30.4137931	64.2327044	85.85714286	70.73451327	147.8550725	49.1	81.37313433	40.71641791	34.71875	70.53469388	81.424	46.20212766	47.45454545	5.5625
CDMD1056	17.47463768	52.93650794	120.8510638	42.15189873	170.9468085	142.5287356	77.54166667	137.7540984	47.06153846	162.6	131.3825137	60.625	56.79338843	59.02912621	121.2110092	125.4088398	91.69491525	83.376	36.58426966	89.34156379	64.02197802	133.9047619	56.67757009	146.4	22.21019108	101.122093	108.7663043	143.4705882	77.50993377	64.76687117	113.375	138.6342857	197.4904459	188.5348837	86.92265193	151.0923077	92.0872093	79.77419355	80.38129496	131.961039	53.58152174	87.93367347	86.32183908	60.25503356	147.7231638	108.3825503	141.8807947	44.48663102	0	0	110.3504274	168.2268908	55.57746479	111.6794872	42.07329843	61.20114943	56.20253165	52.31967213	62.67037037	96.96621622	71.5375	38.29032258	44.15873016	125.1052632	106.7783251	52.35632184	94.26415094	99.55952381	80.46902655	139.384058	86.225	97.02985075	49.19402985	24.5	72.24897959	68.464	46.64893617	44.6969697	6.536982249
CDMD1058	12.23188406	65.6984127	100.7659574	48.70886076	150.4468085	133.545977	93.53333333	154.3387978	38.42307692	163.2368421	127.6502732	58.05263158	62.91735537	39.45631068	105.559633	129.0662983	71.11299435	84.232	33.86516854	92.21399177	69.12087912	129.9387755	58.3411215	148.6869565	15.01273885	114.3662791	110.798913	132.7794118	80.94039735	72.96932515	67.24107143	111.72	157.4203822	164.7267442	92.8121547	141.9230769	80.5	71.78225806	68.85611511	129.4935065	44.57065217	90.95918367	84.1091954	53.59731544	118.5480226	79.65100671	136.6291391	37.62032086	118.3592233	100.6909091	102.9273504	138.5546218	60.94835681	95.89102564	40.96858639	55.93103448	40.39240506	65.31147541	65.57037037	109.6486486	55.3875	27.80645161	35.42857143	136.3026316	111.0935961	30.45977011	92.43396226	93.97619048	62.08849558	145.0144928	54.125	83.53731343	35.10447761	33.1	61.7755102	80.544	48.82978723	47.36363636	6.285133136
CDMD1059	36.68115942	120.8253968	186.0106383	97.20253165	327.2021277	275.3448276	202.9916667	304.7978142	89.26153846	326.8105263	254.2513661	156.1447368	136.4545455	87.10679612	263.706422	276.2707182	163.1129944	163.184	66.65168539	172.3004115	159.7582418	291.9727891	132.9205607	275.7130435	40.62420382	263.1976744	230.3532609	305.1323529	171.9470199	174.5337423	178.3392857	252.9085714	338.2420382	318.255814	171.2099448	316.1461538	151.5930233	153.6693548	181.8848921	299.3506494	119.6032609	196.9489796	147.2068966	121.1073826	242.8870056	193.9932886	240.8543046	88.97326203	304.6116505	217.2181818	239.0128205	347.7983193	105.3849765	219.0384615	96.16230366	135.637931	118.7341772	119.6885246	125.5518519	215.9797297	101.725	80.62903226	93.73015873	247.1447368	206.4187192	79.20689655	229.9811321	191.6904762	128.7876106	325.0652174	149.95	177.2537313	82.47761194	67.8875	133.0285714	147.352	125.1489362	130.030303	11.375
CDMD1060	44.79347826	159.9047619	289.9361702	126.9240506	441.2446809	337.816092	243.3666667	337.3715847	90.80769231	402.0947368	353.8797814	182.4407895	167.4380165	116.4368932	389.8990826	345.2320442	205.0451977	196.32	92.74157303	234.3868313	160.5494505	337.2585034	151.771028	341.6173913	61.40764331	385.0465116	293.7934783	379.1544118	208.3311258	198.3312883	238.4642857	335.7542857	407.4203822	403.0290698	238.0994475	420.1	176.6569767	214.2903226	210.2302158	415.025974	138	270.994898	187.4482759	142.0402685	326.5875706	257.6040268	347.7350993	121.657754	367.3883495	229.0727273	306.6282051	442.2605042	169.8967136	260.5064103	110.8586387	153.2701149	122.0822785	139.5901639	167.362963	275.3918919	135.6875	112.2258065	122.8095238	316.1973684	280.3990148	108.7471264	287.8930818	229.9821429	170.5840708	375.115942	189.475	266.1492537	106.4029851	85.1125	185.5714286	210.72	151.0957447	145.8787879	16.23076923
CDMD1061	18.55072464	49.85714286	110.5957447	39.11392405	167.606383	124.045977	100.2416667	145.4480874	31.04615385	186.1421053	109.8087432	76.41447368	48.6446281	38.67961165	163.3119266	122.4861878	86.07344633	87.008	20.65168539	86.23868313	62.26373626	136.3673469	60.81308411	122.8173913	34.8089172	159.5116279	111.0978261	142.6544118	82.80794702	74.42944785	91.26785714	129.28	168.3375796	149.4069767	87.43093923	173.7615385	62.97674419	74.95967742	106.5539568	119.2987013	52.31521739	103.494898	101.5287356	52.63758389	132.4463277	117.3087248	149.0331126	50.15508021	118.6990291	100.3	108.1923077	174.1596639	56.90610329	105.9615385	40.81151832	73.07471264	42.12025316	53.17213115	53.94814815	81.60810811	56.2375	58.83870968	34.96825397	119.3552632	100.3743842	32.6091954	111.4402516	95.3452381	62.03539823	154.115942	59.1	98.56716418	37.13432836	41.04375	63.25306122	68.312	43.78723404	49.39393939	6.923816568
CDMD1075	21.05797101	14.28571429	22.94680851	28.59493671	15.36170213	58.05747126	102.175	65.56830601	55.23846154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.79310345	19.4295302	11.01129944	20.47651007	32.09933775	18.19786096	37.81553398	48.64545455	33.98290598	42.28571429	48.02816901	65.30128205	37.29319372	65.32758621	57.03797468	11.22131148	59.05185185	59.08108108	18.7	22.72580645	49.0952381	31.86842105	26.42364532	45.63218391	53.49056604	38.5	32.18584071	21.88405797	25.325	34.11940299	22.68656716	28.61875	32.94285714	67.6	45.09574468	43.66666667	0
CDMD1076	27.44202899	22	25.79787234	53.35443038	50.44680851	73.20689655	131.8166667	125.8360656	102.3923077	115.4894737	62.12568306	23.36842105	74.65289256	109.1553398	34.35779817	39.88950276	42.74576271	40.744	28.04494382	29.34979424	40.75274725	69.58503401	19.73364486	21.82608696	38.70700637	25.28488372	41.72282609	17.61029412	97.34437086	51.02453988	33.97321429	69.34857143	80.62420382	83.0755814	51.99447514	43.6	66.29651163	38.62903226	24.17266187	23.92857143	26.69565217	54.07142857	49.48850575	15.38926174	25.85310734	21.41610738	15.14569536	15.17647059	49.15533981	71.97272727	21.1965812	46.01680672	65.01408451	59.87179487	24.95811518	61.22413793	66.46202532	23.57377049	44.84814815	53.31756757	18.2875	18.30645161	88.07936508	20.46052632	31.93103448	39.04597701	58.8490566	54.58928571	29.48672566	37.82608696	22.625	58.70149254	75.10447761	33.78125	42.09795918	64.528	69.89361702	56.48484848	0
CDMD1084	37.12318841	95.36507937	59.06382979	128.3037975	81.54255319	79.2183908	92.38333333	58.18579235	50.37692308	49.43684211	37.21311475	114.1842105	88.9338843	103.7669903	108.2018349	65.15469613	30.39548023	50.8	80.29213483	87.12345679	86.64285714	68.10204082	85.28504673	57.10434783	29.29299363	57.23837209	22.49456522	71.63970588	74.20529801	65.70552147	104.8839286	76.47428571	92.50318471	85.3255814	81.25966851	115.7846154	71.20930233	48.75	112.2230216	78.85714286	38.72826087	59.86734694	45.02298851	109.8187919	81.3220339	0	0	71.57219251	146.5631068	43.13636364	50.70940171	121.8655462	92.71830986	117.7948718	73.61780105	63.75862069	55.82278481	59.36065574	67.96666667	72.47972973	112.5625	97.14516129	80.46031746	75.71052632	82.7635468	86.97701149	65.41509434	24.9702381	141.2831858	78.65942029	83.425	36.23880597	94.86567164	70.9625	50.16326531	45.288	46.5106383	94.12121212	0
